,title,company,salary,location
146,Addetto/a Customer Service e Data Analyst,Eurointerim,Tempo pieno +1,"Modena, Emilia-Romagna"
147,Software Developer Senior,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
148,Data Analyst Laboratorio Materiali,Socotec Italia Srl,Tempo indeterminato +1,"Lainate, Lombardia"
149,Data Analyst - Service,Coesia,No salary,"Bologna, Emilia-Romagna"
150,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
151,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
152,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
153,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
154,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
155,Financial Planning & Control Analyst,Verisure Italy S R L,Tempo pieno,00166 Roma
156,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
157,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
158,Business Product Analyst,Iperal,Tempo pieno,23010 Piantedo
159,Addetto/a Customer Service e Data Analyst,Eurointerim,Tempo pieno +1,"Modena, Emilia-Romagna"
